Ders Kodu,Ders Denklikleri
FIZ 101E,"FIZ 111, GUV 103, PHY 105, PHY 107, PHY 123"
FIZ 101EL,"FIZ 101L, PHY 105L, PHY 107L, PHY 123L"
BLG 101E,"BBF 101, BIL 103, CEN 101"
BLG 113E,"BLG 111, CEN 113"
MAT 103E,"GMI 099, GUV 099, MAT 101, MAT 187, MTH 101, MTH 103, MTH 107, MTH 115, MTH 117, MTH 121, MTH 122, MTH 131"
MAT 281E,"BBF 102, EEF 281, MAT 121, MAT 261, MTH 281"
ING 100,-
BLG 112E,"BBF 103, CEN 112"
BLG 102E,"BIL 105, CEN 102"
MAT 104E,"GMI 104, MAT 102, MAT 188, MTH 102, MTH 104, MTH 108, MTH 116, MTH 118, MTH 124, MTH 132"
FIZ 102E,"FIZ 106, PHY 106, PHY 108"
FIZ 102EL,"FIZ 102L, FIZ 106L, PHY 106L, PHY 108L"
ING 112A,ING 112
DAN 102,"DAN 301, DAN 102"
BLG 210E,MAT 210
BLG 231E,"BLG 211, CEN 231, EEF 205, EHB 205, ELE 321, KON 311"
BLG 223E,"BLG 221, BLG 233, CEN 223"
EHB 222E,"EEE 225, EHB 231, ELE 222"
EHB 211E,"EEE 211, EEF 211, ELE 211"
ING 201A,ING 201
BLG 252E,"BBF 203, BLG 252, BLG 332, CEN 252, EHB 354"
BLG 222E,CEN 222
BLG 242E,CEN 242
BLG 202E,"BBF 202, CEN 202, MAT 202"
BLG 311E,"BBF 204, CEN 311"
TUR 121,"TUR 101, TUR 103, TUR 111"
BLG 335E,"BBF 301, BLG 381, CEN 335"
MAT 271E,"DFH 401, EEF 271, EUT 206, GEO 215, GID 408, HSS 301, INS 305, JEO 351, KIM 271, MAK 211, MAT 291, MDN 271, MIM 305, MTH 271, PEM 207, SBP 205"
BLG 351E,CEN 351
TUR 122,"TUR 102, TUR 104, TUR 112"
BLG 317E,"BBF 302, BLG 361, CEN 317"
BLG 212E,"CEN 212, EHB 455, ELK 323, UZB 214"
EHB 311E,"EEE 315, EHN 311, ELE 311"
BLG 322E,CEN 322
BLG 312E,CEN 312
BLG 336E,"BBF 303, BLG 372, CEN 336"
ATA 121,"ATA 101, NTH 103"
BLG 354E,"CEN 354, EHB 252, TEL 252"
BLG 374E,CEN 374
ATA 122,"ATA 102, NTH 104"
BLG 411E,CEN 411
BLG 4901E,CEN 4901
BLG 4902E,"BLG 492, CEN 4902"
EKO 201E,"DFH 278, GUV 261, HSS 222, INS 301"
BLG 346E,-
SNT 102E,-
SNT 103E,-
SNT 104E,-
SNT 105E,-
SNT 106E,-
SNT 107E,-
SNT 112E,-
SNT 113E,-
SNT 114E,-
SNT 116E,-
SNT 117E,-
SNT 121E,-
SNT 123E,-
SNT 211E,"ITB 033, ITB 211"
SNT 212E,"ITB 021, ITB 212"
SNT 215E,-
SNT 226E,ITB 226
SNT 227E,-
BLG 337E,-
BLG 345E,-
BLG 348E,-
BLG 368E,-
BLG 442E,-
BLG 448E,-
BLG 454E,BBF 304
KON 224E,ELK 224
KON 317E,"EHN 317, ELK 311, KON 313"
MAL 201E,"ENR 122, INS 201, MAK 213"
BLG 413E,"BLG 321, BLG 431"
BLG 430E,BLG 422
BLG 433E,BLG 423
BLG 434E,BLG 424
BLG 435E,BLG 417
BLG 438E,BLG 425
BLG 439E,BLG 426
BLG 440E,BLG 427
BLG 443E,BLG 428
BLG 444E,BLG 429
BLG 447E,BLG 461
BLG 449E,BLG 462
BLG 450E,BLG 464
BLG 451E,BLG 465
BLG 452E,BLG 466
BLG 453E,BLG 467
BLG 456E,BLG 469
BLG 458E,BLG 470
BLG 459E,"BLG 331, BLG 472"
BLG 460E,"BLG 342, BLG 473"
BLG 468E,BLG 476
BLG 475E,BLG 480
BLG 477E,BLG 474
BLG 478E,BLG 479
BLG 483E,-
YZV 406E,-
