Cluster,Size,Avg_Centroid,Avg_Spread(q90-q10),Avg_Rank(1=best),Compactness_Score,Performance_Score
0,127,0.8520999626053819,0.17157980161100828,9.125,0.8535483444020857,0.8520999626053819
1,50,0.18980084628999788,0.07006877809171727,18.125,0.9345193696645623,0.18980084628999788
2,69,0.7562191217128521,0.22852185392447344,13.375,0.8139863339065009,0.7562191217128521
3,78,0.9960144058182743,0.12376250923723188,2.75,0.8898677360919993,0.9960144058182743
4,89,0.7131223772141966,0.21596672610291917,14.75,0.8223909244662672,0.7131223772141966
5,13,0.553296263213008,0.5596053777767488,15.125,0.6411878378013299,0.553296263213008
6,66,0.8483852342011229,0.17543477115249145,9.625,0.850749037328136,0.8483852342011229
7,21,0.3638447400049258,0.362738746465297,16.875,0.7338163698609311,0.3638447400049258
8,119,0.7407465063878436,0.21759013893706838,14.375,0.8212944307129325,0.7407465063878436
9,106,0.8753823995619068,0.16893516889833443,8.5,0.8554794368471711,0.8753823995619068
10,44,0.6755315433465635,0.2613824269844561,16.125,0.7927809826799839,0.6755315433465635
11,86,0.7218250498518941,0.2308495387964298,14.625,0.812446987612992,0.7218250498518941
12,128,0.9310656209954591,0.14895817596917316,5.125,0.8703537003481232,0.9310656209954591
13,47,0.24446968745348524,0.31079785262167736,17.25,0.7628941396264404,0.24446968745348524
14,113,1.0045137385926082,0.1291308718336596,2.5,0.8856369309750988,1.0045137385926082
15,10,0.8446720306438672,0.13479434179432023,8.375,0.8812169422864892,0.8446720306438672
16,55,0.8918353687988965,0.18948494810410682,7.375,0.8407000034711473,0.8918353687988965
17,83,1.0740889823824085,0.09928488999721188,1.0,0.9096822935522532,1.0740889823824085
18,71,0.9509951918324441,0.16946945975775551,5.0,0.8550885973603283,0.9509951918324441
19,37,0.843473996972487,0.27792547835944104,9.625,0.7825182429915767,0.843473996972487
