Cluster,Basic_Sciences,Software_Practice,Algorithm_Theory,Systems,Hardware,Social_Cultural,Language_Comm,Math_Calc
0,9,10,12,8,9,7,6,12
1,20,20,20,20,20,8,18,19
2,15,12,13,12,12,16,16,11
3,3,3,4,2,2,2,2,4
4,14,17,17,16,15,11,11,17
5,18,16,11,17,17,15,17,10
6,8,8,8,9,8,17,10,9
7,19,18,14,18,18,12,18,18
8,12,14,15,14,16,14,15,15
9,7,9,9,10,10,6,9,8
10,16,15,18,15,13,19,13,20
11,13,13,16,13,14,18,14,16
12,4,5,5,5,5,5,5,7
13,17,19,19,19,19,13,18,14
14,2,2,2,3,3,3,3,2
15,5,7,7,7,7,20,8,6
16,10,6,10,6,6,4,4,13
17,1,1,1,1,1,1,1,1
18,6,4,3,4,4,9,7,3
19,11,11,6,11,11,10,12,5
