Cluster,Basic_Sciences,Software_Practice,Algorithm_Theory,Systems,Hardware,Social_Cultural,Language_Comm,Math_Calc
0,0.09014458751315435,0.05334759973955894,0.017941145192208463,0.05458909463495021,0.043198771568741634,0.006993295892040674,0.11900652016616942,-0.05092768390191915
1,-0.8510629189072729,-0.7574789335492433,-0.7561206146084632,-0.7468091967843944,-0.7148384403624827,0.002388932812732336,-0.8673731892467047,-0.272805239072339
2,-0.06611432054552024,-0.034657244082827776,-0.030942078815822893,-0.03806512959246511,-0.058465858283804795,-0.10595588423658853,-0.050741022889531084,-0.0478118578887734
3,0.18639005213604098,0.21331700074950488,0.198147485723973,0.2111071717036216,0.23332649832826557,0.11313145411061953,0.2045249817693835,0.12566423198663457
4,-0.03673628593234224,-0.13273413670023892,-0.18682798404780365,-0.112024205938838,-0.08616466413291735,-0.027938480965335133,0.004674639381667123,-0.19977623398876987
5,-0.8051079124946743,-0.12066626747598941,0.023257923051955842,-0.14125229745432522,-0.2239348267446608,-0.06307601483523384,-0.6923070710584386,-0.0330497973227214
6,0.09226641206218267,0.06311027728622343,0.07464041097840912,0.0525967970088731,0.05593019195651139,-0.10760940350228143,0.04875401920215783,0.02488679857875642
7,-0.805426468509341,-0.5272522000756252,-0.0658920606082467,-0.5474378136011466,-0.5144609896731678,-0.029895452854121984,-0.8673731892467047,-0.21401027543039075
8,9.449310338849326e-05,-0.0937824569881498,-0.10068574620210058,-0.08082391819102186,-0.11246606761298361,-0.03581031232407372,-0.02461866684116576,-0.10844164387929622
9,0.10986306058574047,0.05731020013157562,0.06105640728592865,0.044726031988109094,0.028245632366735496,0.06240916879565339,0.0883272114641338,0.06861511383922614
10,-0.07071554251825574,-0.11515085257025748,-0.1945122064216841,-0.10437998986941222,-0.06104005740950735,-0.226674160208727,-0.016546908557866113,-0.28923430570993347
11,-0.011346706938804574,-0.0716877556107951,-0.10546040063612383,-0.06807059182865016,-0.0670549628738838,-0.2072620959730186,-0.021644920468089524,-0.155378536893633
12,0.14251228933439275,0.13069258713163345,0.12127419722136201,0.1201675002702407,0.11823232901530012,0.08880136203367905,0.15495626545044816,0.08938206746846566
13,-0.7637908749730485,-0.7515641357565827,-0.6688758851808886,-0.6948674067278459,-0.6626345417407605,-0.03136702901749322,-0.8673731892467047,-0.08627580776694532
14,0.18738216131275698,0.21911720829215509,0.2352176667683621,0.20761929077088348,0.21953389572809467,0.09546451900566899,0.17587696745339731,0.21339182937139523
15,0.13730769671763066,0.10128099184427486,0.09789600279416677,0.06992230058380777,0.0986614972874541,-0.4556885101731759,0.10916734807772344,0.11632254798090469
16,0.07953113905719456,0.10930696552175312,0.054930506062226936,0.11554478637603605,0.10748301705176533,0.09440175767076553,0.17448971180827688,-0.08351130319499833
17,0.23149386919561288,0.29623526966807423,0.3008870340213353,0.3016347656186812,0.33024161166593524,0.16203182038191122,0.21832002116904903,0.2693610973005174
18,0.1311225049588337,0.1937033899219912,0.20349646681111988,0.16712645281475902,0.15660391337565094,-0.006988633707036951,0.118096522606432,0.16229454783965147
19,0.008934031116951902,0.05207881359208755,0.10918991676302936,0.04279444987512371,-0.043243018904074004,-0.008312708191055007,-0.016094153883436157,0.11993827537311808
