Cluster,Basic_Sciences,Software_Practice,Algorithm_Theory,Systems,Hardware,Social_Cultural,Language_Comm,Math_Calc
0,0.07616495067064499,0.06593877299860029,0.07256373163244363,0.06160797835334679,0.07404049528877689,0.07285171665276233,0.07021926696847967,0.05262584501050243
1,0.12056585337482584,0.05847131443984521,0.029265925868726457,0.09203236957018264,0.09249678314374858,0.11039243445628119,0.0,0.11148627788142527
2,0.23646754218008084,0.07461893308104048,0.07160468853571274,0.07160141187850903,0.0795632571512461,0.09384543346725246,0.10150021311776487,0.07199783229817033
3,0.042846139252575334,0.04794162234588217,0.046862325931996004,0.04432579996839586,0.05977583543442888,0.050049314575951916,0.037941578098360566,0.049748961976961756
4,0.19109577090212057,0.10158411561586972,0.09182795765022321,0.08232401660815983,0.09798619249623969,0.08003803169158023,0.141343779054079,0.06888818238318765
5,0.2527671952873561,0.3168019540348741,0.15149891770805604,0.4112504330317946,0.43217093108882293,0.08603133683240874,0.33491461376631154,0.1620897353956178
6,0.0821434448173088,0.06743477001245271,0.07167436088806747,0.06426962297415117,0.08208534025929587,0.06922664066025977,0.0836426589699307,0.062091489647869175
7,0.22072252161604933,0.31649902438019906,0.21204070557986,0.3149505865785544,0.3165398896476023,0.12620475592572078,0.0,0.12357487172388322
8,0.16973698091867717,0.09619378825809011,0.07932896177134839,0.0830987445975655,0.11686860314814358,0.06946068388780237,0.13855333577328818,0.06997218626979626
9,0.06951448239992397,0.06531579398995518,0.07762371134989896,0.07211543239232163,0.0787915568171067,0.04717373326833578,0.08176491210047183,0.04878960548861736
10,0.14008814257562904,0.09667518545922454,0.08456030844116927,0.08354568467455928,0.09743282924425974,0.12079172996219943,0.135645457243629,0.07147917241490066
11,0.11568356364057782,0.08488091863759178,0.08724819833453029,0.09569653275770558,0.09756313096264338,0.0803507908624715,0.12815342926238776,0.054973811820674505
12,0.06642736247710825,0.053428631383770055,0.07207343779384981,0.056531590229751315,0.06232701893868981,0.049318113496902016,0.06482496347189116,0.04255184678670233
13,0.27580832898430524,0.07295068186154655,0.20980105435550445,0.1814339942669745,0.1823495461541789,0.09757171342249776,0.0,0.1643910415055196
14,0.05850181593329523,0.050702784026870736,0.05449776909627197,0.05091001310276679,0.06087258995330264,0.051716638229130314,0.042233812842862685,0.04763731853779271
15,0.06416220086902454,0.07725609109975458,0.05292173123650044,0.05605141486856246,0.08086637612153098,0.16705333879336862,0.05135514968688078,0.09190558794997641
16,0.08611423059506179,0.07884016306174699,0.0911172124959713,0.08650636709643267,0.07757804421398769,0.06552544175540591,0.06737789597306536,0.08129222186084452
17,0.035632018018017096,0.03923505919372879,0.04237679939086435,0.03528685222328915,0.04644632841364367,0.03581707803440035,0.03909815686958294,0.04147749799282223
18,0.09898926748381323,0.04437026050002432,0.06197200137326091,0.05254931669164841,0.07308333385404032,0.07690088567385556,0.06733236914230215,0.05327371644291071
19,0.2599088625719595,0.0893209692095635,0.07773539999427294,0.09352352491325186,0.25226864835947904,0.09242272426136869,0.128229443463618,0.06265286780671042
