Yıl,Cluster,Erkek,Kadın
2009.0,8,2,0
2009.0,9,2,0
2010.0,4,1,0
2010.0,8,0,2
2010.0,14,0,1
2011.0,0,6,0
2011.0,1,15,4
2011.0,2,11,2
2011.0,3,3,1
2011.0,4,14,0
2011.0,5,0,1
2011.0,6,3,0
2011.0,7,3,1
2011.0,8,23,3
2011.0,9,6,1
2011.0,10,3,0
2011.0,11,5,1
2011.0,12,1,1
2011.0,13,4,2
2011.0,14,3,0
2011.0,17,2,0
2011.0,18,8,0
2011.0,19,3,2
2012.0,0,7,0
2012.0,1,2,3
2012.0,2,9,2
2012.0,3,1,0
2012.0,4,6,2
2012.0,5,2,2
2012.0,6,15,0
2012.0,7,5,1
2012.0,8,10,4
2012.0,9,10,4
2012.0,10,3,1
2012.0,11,11,0
2012.0,12,7,2
2012.0,13,9,1
2012.0,14,3,0
2012.0,16,0,1
2012.0,17,3,0
2012.0,18,6,2
2012.0,19,6,0
2013.0,0,14,5
2013.0,1,6,0
2013.0,2,5,1
2013.0,3,2,0
2013.0,4,17,0
2013.0,5,2,0
2013.0,6,5,0
2013.0,7,2,1
2013.0,8,16,4
2013.0,9,8,1
2013.0,10,5,1
2013.0,11,11,1
2013.0,12,4,1
2013.0,13,13,1
2013.0,14,3,3
2013.0,16,1,0
2013.0,17,2,0
2013.0,18,4,0
2013.0,19,3,0
2014.0,0,12,1
2014.0,1,6,1
2014.0,2,7,1
2014.0,3,3,0
2014.0,4,6,2
2014.0,5,1,2
2014.0,6,7,1
2014.0,7,1,3
2014.0,8,11,1
2014.0,9,9,2
2014.0,10,4,0
2014.0,11,14,0
2014.0,12,5,3
2014.0,13,6,2
2014.0,14,6,3
2014.0,16,3,0
2014.0,17,1,0
2014.0,18,12,0
2014.0,19,4,0
2015.0,0,10,0
2015.0,1,4,3
2015.0,2,4,2
2015.0,3,2,0
2015.0,4,7,2
2015.0,5,0,1
2015.0,6,6,1
2015.0,7,2,1
2015.0,8,6,4
2015.0,9,6,4
2015.0,10,2,1
2015.0,11,10,0
2015.0,12,7,3
2015.0,13,3,1
2015.0,14,8,4
2015.0,16,3,0
2015.0,17,7,1
2015.0,18,6,1
2015.0,19,4,0
2016.0,0,10,6
2016.0,1,6,0
2016.0,2,15,2
2016.0,3,3,0
2016.0,4,10,5
2016.0,5,2,0
2016.0,6,8,0
2016.0,8,13,2
2016.0,9,8,1
2016.0,10,15,2
2016.0,11,15,1
2016.0,12,12,7
2016.0,13,3,2
2016.0,14,15,5
2016.0,15,1,0
2016.0,16,6,5
2016.0,17,5,1
2016.0,18,5,1
2016.0,19,2,1
2017.0,0,18,5
2017.0,2,1,0
2017.0,3,15,2
2017.0,4,4,2
2017.0,6,3,1
2017.0,7,1,0
2017.0,8,3,1
2017.0,9,6,3
2017.0,10,4,0
2017.0,11,1,0
2017.0,12,15,5
2017.0,14,8,0
2017.0,16,15,2
2017.0,17,7,0
2017.0,18,1,1
2017.0,19,1,0
2018.0,0,8,0
2018.0,2,2,0
2018.0,3,14,4
2018.0,4,6,2
2018.0,8,9,0
2018.0,9,9,4
2018.0,11,2,0
2018.0,12,12,5
2018.0,14,8,2
2018.0,16,8,1
2018.0,17,19,5
2018.0,18,2,1
2019.0,0,7,2
2019.0,3,15,4
2019.0,4,1,1
2019.0,6,2,0
2019.0,8,1,1
2019.0,9,12,2
2019.0,10,1,0
2019.0,11,5,0
2019.0,12,10,7
2019.0,14,8,4
2019.0,16,4,3
2019.0,17,17,2
2019.0,18,5,1
2019.0,19,1,0
2020.0,0,8,7
2020.0,2,4,0
2020.0,3,7,1
2020.0,4,0,1
2020.0,6,10,3
2020.0,8,2,0
2020.0,9,7,1
2020.0,10,1,0
2020.0,11,6,1
2020.0,12,10,6
2020.0,14,11,3
2020.0,15,5,1
2020.0,16,1,0
2020.0,17,7,1
2020.0,18,7,1
2020.0,19,3,1
2021.0,2,1,0
2021.0,6,1,0
2021.0,8,0,1
2021.0,12,3,2
2021.0,14,11,1
2021.0,15,2,0
2021.0,16,2,0
2021.0,17,3,0
2021.0,18,5,1
2021.0,19,5,0
2022.0,0,1,0
2022.0,10,0,1
2022.0,14,1,2
2022.0,15,1,0
2022.0,18,1,0
2022.0,19,1,0
