Yıl,Cluster,Erkek,Kadın
2009.0,8,100.0,0.0
2009.0,9,100.0,0.0
2010.0,4,100.0,0.0
2010.0,8,0.0,100.0
2010.0,14,0.0,100.0
2011.0,0,100.0,0.0
2011.0,1,78.95,21.05
2011.0,2,84.62,15.38
2011.0,3,75.0,25.0
2011.0,4,100.0,0.0
2011.0,5,0.0,100.0
2011.0,6,100.0,0.0
2011.0,7,75.0,25.0
2011.0,8,88.46,11.54
2011.0,9,85.71,14.29
2011.0,10,100.0,0.0
2011.0,11,83.33,16.67
2011.0,12,50.0,50.0
2011.0,13,66.67,33.33
2011.0,14,100.0,0.0
2011.0,17,100.0,0.0
2011.0,18,100.0,0.0
2011.0,19,60.0,40.0
2012.0,0,100.0,0.0
2012.0,1,40.0,60.0
2012.0,2,81.82,18.18
2012.0,3,100.0,0.0
2012.0,4,75.0,25.0
2012.0,5,50.0,50.0
2012.0,6,100.0,0.0
2012.0,7,83.33,16.67
2012.0,8,71.43,28.57
2012.0,9,71.43,28.57
2012.0,10,75.0,25.0
2012.0,11,100.0,0.0
2012.0,12,77.78,22.22
2012.0,13,90.0,10.0
2012.0,14,100.0,0.0
2012.0,16,0.0,100.0
2012.0,17,100.0,0.0
2012.0,18,75.0,25.0
2012.0,19,100.0,0.0
2013.0,0,73.68,26.32
2013.0,1,100.0,0.0
2013.0,2,83.33,16.67
2013.0,3,100.0,0.0
2013.0,4,100.0,0.0
2013.0,5,100.0,0.0
2013.0,6,100.0,0.0
2013.0,7,66.67,33.33
2013.0,8,80.0,20.0
2013.0,9,88.89,11.11
2013.0,10,83.33,16.67
2013.0,11,91.67,8.33
2013.0,12,80.0,20.0
2013.0,13,92.86,7.14
2013.0,14,50.0,50.0
2013.0,16,100.0,0.0
2013.0,17,100.0,0.0
2013.0,18,100.0,0.0
2013.0,19,100.0,0.0
2014.0,0,92.31,7.69
2014.0,1,85.71,14.29
2014.0,2,87.5,12.5
2014.0,3,100.0,0.0
2014.0,4,75.0,25.0
2014.0,5,33.33,66.67
2014.0,6,87.5,12.5
2014.0,7,25.0,75.0
2014.0,8,91.67,8.33
2014.0,9,81.82,18.18
2014.0,10,100.0,0.0
2014.0,11,100.0,0.0
2014.0,12,62.5,37.5
2014.0,13,75.0,25.0
2014.0,14,66.67,33.33
2014.0,16,100.0,0.0
2014.0,17,100.0,0.0
2014.0,18,100.0,0.0
2014.0,19,100.0,0.0
2015.0,0,100.0,0.0
2015.0,1,57.14,42.86
2015.0,2,66.67,33.33
2015.0,3,100.0,0.0
2015.0,4,77.78,22.22
2015.0,5,0.0,100.0
2015.0,6,85.71,14.29
2015.0,7,66.67,33.33
2015.0,8,60.0,40.0
2015.0,9,60.0,40.0
2015.0,10,66.67,33.33
2015.0,11,100.0,0.0
2015.0,12,70.0,30.0
2015.0,13,75.0,25.0
2015.0,14,66.67,33.33
2015.0,16,100.0,0.0
2015.0,17,87.5,12.5
2015.0,18,85.71,14.29
2015.0,19,100.0,0.0
2016.0,0,62.5,37.5
2016.0,1,100.0,0.0
2016.0,2,88.24,11.76
2016.0,3,100.0,0.0
2016.0,4,66.67,33.33
2016.0,5,100.0,0.0
2016.0,6,100.0,0.0
2016.0,8,86.67,13.33
2016.0,9,88.89,11.11
2016.0,10,88.24,11.76
2016.0,11,93.75,6.25
2016.0,12,63.16,36.84
2016.0,13,60.0,40.0
2016.0,14,75.0,25.0
2016.0,15,100.0,0.0
2016.0,16,54.55,45.45
2016.0,17,83.33,16.67
2016.0,18,83.33,16.67
2016.0,19,66.67,33.33
2017.0,0,78.26,21.74
2017.0,2,100.0,0.0
2017.0,3,88.24,11.76
2017.0,4,66.67,33.33
2017.0,6,75.0,25.0
2017.0,7,100.0,0.0
2017.0,8,75.0,25.0
2017.0,9,66.67,33.33
2017.0,10,100.0,0.0
2017.0,11,100.0,0.0
2017.0,12,75.0,25.0
2017.0,14,100.0,0.0
2017.0,16,88.24,11.76
2017.0,17,100.0,0.0
2017.0,18,50.0,50.0
2017.0,19,100.0,0.0
2018.0,0,100.0,0.0
2018.0,2,100.0,0.0
2018.0,3,77.78,22.22
2018.0,4,75.0,25.0
2018.0,8,100.0,0.0
2018.0,9,69.23,30.77
2018.0,11,100.0,0.0
2018.0,12,70.59,29.41
2018.0,14,80.0,20.0
2018.0,16,88.89,11.11
2018.0,17,79.17,20.83
2018.0,18,66.67,33.33
2019.0,0,77.78,22.22
2019.0,3,78.95,21.05
2019.0,4,50.0,50.0
2019.0,6,100.0,0.0
2019.0,8,50.0,50.0
2019.0,9,85.71,14.29
2019.0,10,100.0,0.0
2019.0,11,100.0,0.0
2019.0,12,58.82,41.18
2019.0,14,66.67,33.33
2019.0,16,57.14,42.86
2019.0,17,89.47,10.53
2019.0,18,83.33,16.67
2019.0,19,100.0,0.0
2020.0,0,53.33,46.67
2020.0,2,100.0,0.0
2020.0,3,87.5,12.5
2020.0,4,0.0,100.0
2020.0,6,76.92,23.08
2020.0,8,100.0,0.0
2020.0,9,87.5,12.5
2020.0,10,100.0,0.0
2020.0,11,85.71,14.29
2020.0,12,62.5,37.5
2020.0,14,78.57,21.43
2020.0,15,83.33,16.67
2020.0,16,100.0,0.0
2020.0,17,87.5,12.5
2020.0,18,87.5,12.5
2020.0,19,75.0,25.0
2021.0,2,100.0,0.0
2021.0,6,100.0,0.0
2021.0,8,0.0,100.0
2021.0,12,60.0,40.0
2021.0,14,91.67,8.33
2021.0,15,100.0,0.0
2021.0,16,100.0,0.0
2021.0,17,100.0,0.0
2021.0,18,83.33,16.67
2021.0,19,100.0,0.0
2022.0,0,100.0,0.0
2022.0,10,0.0,100.0
2022.0,14,33.33,66.67
2022.0,15,100.0,0.0
2022.0,18,100.0,0.0
2022.0,19,100.0,0.0
