Student_ID,Assigned_Cluster
Student_1,3
Student_10,0
Student_100,3
Student_1000,1
Student_1001,2
Student_1002,3
Student_1003,0
Student_1004,4
Student_1005,3
Student_1006,0
Student_1007,3
Student_1008,3
Student_1009,3
Student_101,3
Student_1010,2
Student_1011,1
Student_1012,3
Student_1013,2
Student_1014,2
Student_1015,0
Student_1016,2
Student_1017,1
Student_1018,2
Student_1019,3
Student_102,4
Student_1020,4
Student_1021,3
Student_1022,2
Student_1023,0
Student_1024,4
Student_1025,3
Student_1026,3
Student_1027,3
Student_1028,2
Student_1029,1
Student_103,3
Student_1030,3
Student_1031,3
Student_1032,3
Student_1033,1
Student_1034,4
Student_1035,4
Student_1036,1
Student_1037,2
Student_1038,4
Student_1039,3
Student_104,3
Student_1040,3
Student_1041,1
Student_1042,2
Student_1043,3
Student_1044,0
Student_1045,2
Student_1046,3
Student_1047,2
Student_1048,3
Student_1049,2
Student_105,1
Student_1050,2
Student_1051,1
Student_1052,3
Student_1053,1
Student_1054,1
Student_1055,1
Student_1056,3
Student_1057,2
Student_1058,0
Student_1059,2
Student_106,0
Student_1060,0
Student_1061,0
Student_1062,0
Student_1063,2
Student_1064,4
Student_1065,2
Student_1066,0
Student_1067,3
Student_1068,3
Student_1069,2
Student_107,0
Student_1070,3
Student_1071,3
Student_1072,3
Student_1073,2
Student_1074,3
Student_1075,4
Student_1076,2
Student_1077,3
Student_1078,0
Student_1079,4
Student_108,0
Student_1080,2
Student_1081,0
Student_1082,1
Student_1083,0
Student_1084,1
Student_1085,3
Student_1086,4
Student_1087,2
Student_1088,2
Student_1089,3
Student_109,2
Student_1090,4
Student_1091,4
Student_1092,1
Student_1093,3
Student_1094,2
Student_1095,4
Student_1096,3
Student_1097,2
Student_1098,2
Student_1099,2
Student_11,2
Student_110,1
Student_1100,2
Student_1101,4
Student_1102,1
Student_1103,2
Student_1104,3
Student_1105,4
Student_1106,2
Student_1107,4
Student_1108,2
Student_1109,0
Student_111,4
Student_1110,0
Student_1111,2
Student_1112,4
Student_1113,0
Student_1114,2
Student_1115,2
Student_1116,4
Student_1117,2
Student_1118,0
Student_1119,2
Student_112,2
Student_1120,2
Student_1121,2
Student_1122,3
Student_1123,4
Student_1124,0
Student_1125,2
Student_1126,1
Student_1127,2
Student_1128,4
Student_1129,1
Student_113,4
Student_1130,3
Student_1131,4
Student_1132,2
Student_1133,2
Student_1134,2
Student_1135,1
Student_1136,4
Student_1137,3
Student_1138,1
Student_1139,4
Student_114,1
Student_1140,1
Student_1141,3
Student_1142,4
Student_1143,0
Student_1144,3
Student_1145,2
Student_1146,3
Student_1147,3
Student_1148,3
Student_1149,4
Student_115,3
Student_1150,1
Student_1151,0
Student_1152,4
Student_1153,0
Student_1154,4
Student_1155,4
Student_1156,0
Student_1157,2
Student_1158,4
Student_1159,2
Student_116,4
Student_1160,4
Student_1161,2
Student_1162,4
Student_1163,3
Student_1164,2
Student_1165,3
Student_1166,1
Student_1167,2
Student_1168,3
Student_1169,4
Student_117,3
Student_1170,1
Student_1171,4
Student_1172,1
Student_1173,0
Student_1174,3
Student_1175,4
Student_1176,2
Student_1177,3
Student_1178,0
Student_1179,1
Student_118,3
Student_1180,4
Student_1181,2
Student_1182,2
Student_1183,4
Student_1184,4
Student_1185,3
Student_1186,4
Student_1187,3
Student_1188,3
Student_1189,2
Student_119,2
Student_1190,3
Student_1191,0
Student_1192,3
Student_1193,2
Student_1194,2
Student_1195,2
Student_1196,2
Student_1197,2
Student_1198,4
Student_1199,0
Student_12,3
Student_120,0
Student_1200,0
Student_1201,4
Student_1202,0
Student_1203,3
Student_1204,4
Student_1205,3
Student_1206,0
Student_1207,0
Student_1208,4
Student_1209,0
Student_121,2
Student_1210,3
Student_1211,0
Student_1212,3
Student_1213,4
Student_1214,0
Student_1215,2
Student_1216,4
Student_1217,0
Student_1218,2
Student_1219,2
Student_122,4
Student_1220,0
Student_1221,0
Student_1222,3
Student_1223,0
Student_1224,4
Student_1225,1
Student_1226,4
Student_1227,4
Student_1228,2
Student_1229,2
Student_123,4
Student_1230,3
Student_1231,2
Student_1232,2
Student_1233,4
Student_1234,3
Student_1235,4
Student_1236,2
Student_1237,2
Student_1238,3
Student_1239,2
Student_124,2
Student_1240,0
Student_1241,2
Student_1242,1
Student_1243,0
Student_1244,2
Student_1245,2
Student_1246,2
Student_1247,1
Student_1248,1
Student_1249,3
Student_125,2
Student_1250,2
Student_1251,3
Student_1252,3
Student_1253,3
Student_1254,0
Student_1255,4
Student_1256,4
Student_1257,4
Student_1258,4
Student_1259,0
Student_126,2
Student_1260,4
Student_1261,4
Student_1262,4
Student_1263,4
Student_1264,1
Student_1265,2
Student_1266,2
Student_1267,2
Student_1268,4
Student_1269,4
Student_127,3
Student_1270,4
Student_1271,3
Student_1272,3
Student_1273,3
Student_1274,3
Student_1275,0
Student_1276,4
Student_1277,1
Student_1278,2
Student_1279,3
Student_128,1
Student_1280,1
Student_1281,3
Student_1282,3
Student_1283,0
Student_1284,2
Student_1285,3
Student_1286,1
Student_1287,2
Student_1288,1
Student_1289,4
Student_129,0
Student_1290,4
Student_1291,0
Student_1292,2
Student_1293,0
Student_1294,0
Student_1295,3
Student_1296,3
Student_1297,0
Student_1298,3
Student_1299,1
Student_13,0
Student_130,1
Student_1300,3
Student_1301,2
Student_1302,1
Student_1303,1
Student_1304,2
Student_1305,3
Student_1306,3
Student_1307,3
Student_1308,0
Student_1309,0
Student_131,3
Student_1310,3
Student_1311,3
Student_1312,1
